dataset	cell	class	ngenes	reads
VASA own, 130 nt	002	multi	10	1538
VASA own, 130 nt	002	multi	11	1075
VASA own, 130 nt	002	multi	12	10046
VASA own, 130 nt	002	multi	13	2848
VASA own, 130 nt	002	multi	14	552
VASA own, 130 nt	002	multi	15	3609
VASA own, 130 nt	002	multi	16	266
VASA own, 130 nt	002	multi	17	529
VASA own, 130 nt	002	multi	18	158
VASA own, 130 nt	002	multi	19	131
VASA own, 130 nt	002	multi	20	418
VASA own, 130 nt	002	single	1	810822
VASA own, 130 nt	002	single	2	66774
VASA own, 130 nt	002	single	3	6070
VASA own, 130 nt	002	single	4	585
VASA own, 130 nt	002	single	5	2
VASA own, 130 nt	002	single	6	3
VASA own, 130 nt	002	single	7	1
VASA own, 130 nt	002	single	8	2
VASA own, 130 nt	002	single	9	1
VASA own, 130 nt	002	single	13	1
VASA own, 130 nt	002	single	14	1
VASA own, 130 nt	002	single	15	6
VASA own, 130 nt	002	single	16	3
VASA own, 130 nt	002	single	17	3
VASA own, 130 nt	002	single	18	3
VASA own, 130 nt	002	single	20	93
VASA own, 130 nt	003	multi	1	97780
VASA own, 130 nt	003	multi	2	236669
VASA own, 130 nt	003	multi	3	190164
VASA own, 130 nt	003	multi	4	73913
VASA own, 130 nt	003	multi	5	129499
VASA own, 130 nt	003	multi	6	45072
VASA own, 130 nt	003	multi	7	92060
VASA own, 130 nt	003	multi	8	19725
VASA own, 130 nt	003	multi	9	56002
VASA own, 130 nt	003	multi	10	3955
VASA own, 130 nt	003	multi	11	2641
VASA own, 130 nt	003	multi	12	20629
VASA own, 130 nt	003	multi	13	6648
VASA own, 130 nt	003	multi	14	1171
VASA own, 130 nt	003	multi	15	6431
VASA own, 130 nt	003	multi	16	551
VASA own, 130 nt	003	multi	17	989
VASA own, 130 nt	003	multi	18	356
VASA own, 130 nt	003	multi	19	264
VASA own, 130 nt	003	multi	20	1002
VASA own, 130 nt	003	single	1	1569527
VASA own, 130 nt	003	single	2	175485
VASA own, 130 nt	003	single	3	14426
VASA own, 130 nt	003	single	4	2285
VASA own, 130 nt	003	single	5	4
VASA own, 130 nt	003	single	6	1
VASA own, 130 nt	003	single	7	6
VASA own, 130 nt	003	single	8	9
VASA own, 130 nt	003	single	9	8
VASA own, 130 nt	003	single	11	2
VASA own, 130 nt	003	single	13	4
VASA own, 130 nt	003	single	15	6
VASA own, 130 nt	003	single	16	3
VASA own, 130 nt	003	single	17	2
VASA own, 130 nt	003	single	18	2
VASA own, 130 nt	003	single	19	12
VASA own, 130 nt	003	single	20	123
VASA own, 130 nt	004	multi	1	95314
VASA own, 130 nt	004	multi	2	244533
VASA own, 130 nt	004	multi	3	113245
VASA own, 130 nt	004	multi	4	54974
VASA own, 130 nt	004	multi	5	71096
VASA own, 130 nt	004	multi	6	39410
VASA own, 130 nt	004	multi	7	49850
