level	key	biotype	reads	UFIs	transcripts	read_per_UFI	read_per_transcript	pct_of_reads__or__rRNApct_strandedY	pct_of_UFIs__or__rRNApct_strandedN	pct_of_transcripts__or__fwd_share_of_ribo	share_ratio_read_over_UFI__or__n_over_y	genes_det_reads	genes_det_UFIs
biotype	TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	TranscribedUnitaryPseudogene-TranscribedUnprocessedPseudogene-lncRNA	2	2	2	1	1	4.88763e-06	1.31438e-05	1.21065e-05	0.371857		
biotype	UnitaryPseudogene-UnprocessedPseudogene-lncRNA	UnitaryPseudogene-UnprocessedPseudogene-lncRNA	2	1	1	2	2	4.88763e-06	6.57192e-06	6.05327e-06	0.743714		
biotype	IgCPseudogene	IgCPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	0.371857		
biotype	ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene-lncRNA	ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene-lncRNA	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	0.371857		
biotype	ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene	ProteinCoding-UnitaryPseudogene-UnprocessedPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	0.371857		
biotype	ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene	ProteinCoding-TranscribedUnprocessedPseudogene-UnitaryPseudogene	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	0.371857		
biotype	ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	ProcessedPseudogene-TranscribedUnprocessedPseudogene-UnprocessedPseudogene-lncRNA	1	1	1	1	1	2.44381e-06	6.57192e-06	6.05327e-06	0.371857		
cell_rRNA_strand	002	rRNA_bwa_stage	2.62327e+06					17.99	31.18	57.6974	1.73318		
cell_rRNA_strand	003	rRNA_bwa_stage	4.56523e+06					25.0885	29.9435	83.7861	1.19352		
cell_rRNA_strand	004	rRNA_bwa_stage	3.54279e+06					20.6783	27.9719	73.9254	1.35271		
cell_rRNA_strand	005	rRNA_bwa_stage	3.04505e+06					20.6809	31.5824	65.4825	1.52713		
cell_rRNA_strand	006	rRNA_bwa_stage	4.74898e+06					19.2865	29.7592	64.8084	1.54301		
cell_rRNA_strand	007	rRNA_bwa_stage	9.19242e+06					21.9642	27.9104	78.6954	1.27072		
cell_rRNA_strand	008	rRNA_bwa_stage	5.75667e+06					19.3538	29.1432	66.4094	1.50581		
cell_rRNA_strand	009	rRNA_bwa_stage	7.01773e+06					20.7783	27.4285	75.7546	1.32005		
cell_rRNA_strand	010	rRNA_bwa_stage	1.32794e+07					21.5055	27.2135	79.0249	1.26542		
cell_rRNA_strand	011	rRNA_bwa_stage	1.36345e+07					22.4899	27.3235	82.3097	1.21492		
cell_rRNA_strand	012	rRNA_bwa_stage	1.10823e+07					22.4446	27.5655	81.4227	1.22816		
cell_rRNA_strand	013	rRNA_bwa_stage	1.04543e+07					21.919	29.7427	73.6955	1.35694		
