dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
published, mouse wells	058	single	84212	76743	93286	75807	936	45212	28912	2	2617	972	1168
published, mouse wells	060	multi	25659	20784	68200	7785	12999	10956	4306	0	5522	930	8032
published, mouse wells	060	single	196555	183032	221222	180120	2912	99670	76581	6	6775	2588	3243
published, mouse wells	062	multi	25718	20250	63144	7519	12731	11541	3951	1	4757	1072	7853
published, mouse wells	062	single	190853	169464	199504	166880	2584	79960	83419	1	6084	2365	2774
published, mouse wells	064	multi	34166	20305	60913	8525	11780	11095	4258	6	4946	1337	7721
published, mouse wells	064	single	160043	135719	164891	133971	1748	79943	51460	3	4313	3157	3804
published, mouse wells	066	multi	44205	34651	108333	13292	21359	18505	7861	10	8275	1332	11405
published, mouse wells	066	single	280567	252701	307824	249277	3424	142055	101225	24	9397	3480	4248
published, mouse wells	068	multi	20735	16145	51075	5513	10632	9576	2562	0	4007	715	5992
published, mouse wells	068	single	125196	111144	136072	109675	1469	71431	36304	0	3409	2418	2948
published, mouse wells	070	multi	20081	14087	44240	5686	8401	7214	3002	1	3870	1904	10408
published, mouse wells	070	single	125885	104850	125423	103306	1544	54501	46451	1	3897	9017	11039
published, mouse wells	076	multi	42931	32316	98030	13070	19246	17956	6660	6	7694	1344	13047
published, mouse wells	076	single	281428	250961	303130	247102	3859	137590	102962	38	10371	3742	4545
published, mouse wells	078	multi	38585	30329	97217	11543	18786	16794	5584	1	7950	1564	12475
published, mouse wells	078	single	248689	222831	273439	219340	3491	132002	82440	9	8380	5865	7103
published, mouse wells	080	multi	32938	26477	85220	9038	17439	14629	4389	1	7458	1377	12651
published, mouse wells	080	single	213147	194281	237108	191141	3140	111511	75779	8	6983	4566	5441
published, mouse wells	082	multi	18422	14472	44288	5223	9249	8916	2241	1	3314	588	3143
published, mouse wells	082	single	95206	83326	100857	82119	1207	49791	30720	14	2801	2157	2583
published, mouse wells	084	multi	13902	11455	35847	3938	7517	7134	1630	2	2689	328	2223
published, mouse wells	084	single	79109	71485	87104	70432	1053	42430	26466	3	2586	816	1017
published, mouse wells	086	multi	18343	14859	45380	5398	9461	8963	2518	0	3378	563	3515
published, mouse wells	086	single	118544	107999	129833	106579	1420	60606	43698	1	3694	1398	1637
published, mouse wells	088	multi	52723	42156	129450	15238	26918	25925	7295	12	8924	1794	13699
published, mouse wells	088	single	298105	271367	328216	267734	3633	157387	107318	47	6615	4920	6007
published, mouse wells	090	multi	73180	57740	188026	20310	37430	30919	9814	11	16996	2549	27829
published, mouse wells	090	single	455939	405313	491395	399067	6246	225700	164006	22	15585	9272	11174
