dataset	cell	class	star_reads	bed_reads	bed_rows	reads_1biotype	reads_mixed	exon	intron	tRNA	mixed_label	reads_offspecies	rows_offspecies
VASA published, mouse	188	multi	27635	25192	101291	7300	17892	11931	5131	0	8130	0	0
VASA published, mouse	188	single	163276	152027	183585	148531	3496	86728	59775	5	5519	0	0
VASA published, mouse	190	multi	32407	29208	115923	9258	19950	13227	6689	0	9292	0	0
VASA published, mouse	190	single	204536	190922	230984	187043	3879	110047	73425	8	7442	0	0
VASA published, mouse	194	multi	7279	5926	24910	1600	4326	2990	938	0	1998	0	0
VASA published, mouse	194	single	30733	27564	33819	26132	1432	17030	9649	8	877	0	0
VASA published, mouse	196	multi	15035	13733	59505	3473	10260	6550	2415	0	4768	0	0
VASA published, mouse	196	single	77381	72802	90535	70707	2095	48087	22477	13	2225	0	0
VASA published, mouse	198	multi	28735	21251	83766	6822	14429	10069	4753	0	6429	0	0
VASA published, mouse	198	single	154620	136062	164193	133677	2385	79897	51394	0	4771	0	0
VASA published, mouse	200	multi	32544	29624	120164	8808	20816	13746	6161	0	9717	0	0
VASA published, mouse	200	single	193680	181958	220990	178421	3537	108379	66327	2	7250	0	0
VASA published, mouse	202	multi	74482	68532	280969	20447	48085	31552	14869	2	22109	0	0
VASA published, mouse	202	single	478973	452888	550985	443541	9347	269664	165370	11	17843	0	0
VASA published, mouse	204	multi	26994	25172	109205	7206	17966	11285	5065	1	8821	0	0
VASA published, mouse	204	single	175107	165902	204628	162430	3472	107166	52337	5	6394	0	0
VASA published, mouse	208	multi	42671	40200	179882	9766	30434	18747	7560	0	13893	0	0
VASA published, mouse	208	single	263574	252976	308112	247293	5683	149979	95713	23	7261	0	0
VASA published, mouse	210	multi	43246	40625	168706	11393	29232	19804	7829	0	12992	0	0
VASA published, mouse	210	single	293843	282258	341354	276594	5664	162529	108436	12	11281	0	0
VASA published, mouse	214	multi	8766	8033	32692	2499	5534	3554	1853	0	2626	0	0
VASA published, mouse	214	single	52944	49607	60923	48710	897	31364	16330	3	1910	0	0
VASA published, mouse	215	multi	19261	17167	66612	5596	11571	7299	4652	1	5215	0	0
VASA published, mouse	215	single	134400	124425	147759	121908	2517	65963	53461	2	4999	0	0
VASA published, mouse	218	multi	35672	33218	143319	9410	23808	14308	7389	3	11518	0	0
VASA published, mouse	218	single	238150	226286	276040	221287	4999	131608	85436	7	9235	0	0
VASA published, mouse	220	multi	57418	52906	224619	15689	37217	23005	11844	5	18052	0	0
VASA published, mouse	220	single	390901	371358	452720	363313	8045	219850	136181	25	15302	0	0
VASA published, mouse	222	multi	40528	37298	147200	10815	26483	18403	7321	0	11574	0	0
VASA published, mouse	222	single	253284	237532	285757	233167	4365	140149	88919	1	8463	0	0
VASA published, mouse	224	multi	11893	10785	43412	2741	8044	5631	1646	0	3508	0	0
VASA published, mouse	224	single	52615	48688	59385	47658	1030	31350	15410	2	1926	0	0
VASA published, mouse	226	multi	21812	20192	78928	5723	14469	10394	3514	0	6284	0	0
VASA published, mouse	226	single	99725	93708	114357	92040	1668	62557	27950	1	3200	0	0
VASA published, mouse	228	multi	6264	5793	23012	1538	4255	3030	864	0	1899	0	0
VASA published, mouse	228	single	22106	19534	24116	19065	469	14934	3946	0	654	0	0
VASA published, mouse	230	multi	13180	12198	50698	3536	8662	5919	2213	0	4066	0	0
VASA published, mouse	230	single	74694	68781	83399	67374	1407	42516	23710	1	2554	0	0
VASA published, mouse	232	multi	19693	18221	76581	4876	13345	8537	4076	0	5608	0	0
VASA published, mouse	232	single	131389	122855	148659	120256	2599	69578	48657	1	4619	0	0
VASA published, mouse	234	multi	30030	27735	114123	8160	19575	12573	6036	0	9126	0	0
VASA published, mouse	234	single	204423	193546	236764	189595	3951	116255	69456	1	7834	0	0
VASA published, mouse	236	multi	11028	9564	38556	2906	6658	4460	2030	0	3074	0	0
VASA published, mouse	236	single	55962	51240	61521	50230	1010	31399	17984	1	1856	0	0
VASA published, mouse	238	multi	4526	4168	16272	1298	2870	1936	928	0	1304	0	0
VASA published, mouse	238	single	33675	31567	37123	30927	640	15791	14498	0	1278	0	0
VASA published, mouse	242	multi	33429	29794	120756	8778	21016	13933	6011	5	9845	0	0
