dataset	cell	class	biotype	reads
FLASH-seq	ZHA8833A7	multi	snoRNA	479
FLASH-seq	ZHA8833A7	multi	snRNA	74
FLASH-seq	ZHA8833A7	multi	rRNA	50
FLASH-seq	ZHA8833A7	multi	pseudogene	29
FLASH-seq	ZHA8833A7	multi	MtRrna	6
FLASH-seq	ZHA8833A7	multi	ribozyme	5
FLASH-seq	ZHA8833A7	multi	TrCGene	1
FLASH-seq	ZHA8833A7	multi	TrVGene	1
FLASH-seq	ZHA8833A7	multi	scaRNA	1
FLASH-seq	ZHA8833A7	single	ProteinCoding	17747242
FLASH-seq	ZHA8833A7	single	lncRNA	2506872
FLASH-seq	ZHA8833A7	single	TEC	89125
FLASH-seq	ZHA8833A7	single	ProcessedPseudogene	73072
FLASH-seq	ZHA8833A7	single	miRNA	63739
FLASH-seq	ZHA8833A7	single	TranscribedProcessedPseudogene	36606
FLASH-seq	ZHA8833A7	single	TranscribedUnprocessedPseudogene	10546
FLASH-seq	ZHA8833A7	single	snoRNA	5574
FLASH-seq	ZHA8833A7	single	MtTrna	3320
FLASH-seq	ZHA8833A7	single	TranscribedUnitaryPseudogene	3137
FLASH-seq	ZHA8833A7	single	MiscRna	1690
FLASH-seq	ZHA8833A7	single	UnprocessedPseudogene	1375
FLASH-seq	ZHA8833A7	single	UnitaryPseudogene	1019
FLASH-seq	ZHA8833A7	single	tRNA	620
FLASH-seq	ZHA8833A7	single	snRNA	537
FLASH-seq	ZHA8833A7	single	MtRrna	291
FLASH-seq	ZHA8833A7	single	ribozyme	184
FLASH-seq	ZHA8833A7	single	rRNA	180
FLASH-seq	ZHA8833A7	single	scaRNA	161
FLASH-seq	ZHA8833A7	single	IgCGene	2
FLASH-seq	ZHA8833A8	multi	ProteinCoding	3728024
FLASH-seq	ZHA8833A8	multi	lncRNA	2222220
FLASH-seq	ZHA8833A8	multi	ProcessedPseudogene	1802046
FLASH-seq	ZHA8833A8	multi	TranscribedProcessedPseudogene	882091
FLASH-seq	ZHA8833A8	multi	UnprocessedPseudogene	372557
FLASH-seq	ZHA8833A8	multi	miRNA	111594
FLASH-seq	ZHA8833A8	multi	MiscRna	109762
FLASH-seq	ZHA8833A8	multi	TranscribedUnprocessedPseudogene	48225
FLASH-seq	ZHA8833A8	multi	TEC	42283
FLASH-seq	ZHA8833A8	multi	TranscribedUnitaryPseudogene	23382
FLASH-seq	ZHA8833A8	multi	MtTrna	12526
FLASH-seq	ZHA8833A8	multi	UnitaryPseudogene	7450
FLASH-seq	ZHA8833A8	multi	tRNA	832
FLASH-seq	ZHA8833A8	multi	snoRNA	296
FLASH-seq	ZHA8833A8	multi	snRNA	162
FLASH-seq	ZHA8833A8	multi	rRNA	78
FLASH-seq	ZHA8833A8	multi	pseudogene	40
FLASH-seq	ZHA8833A8	multi	IgCGene	4
FLASH-seq	ZHA8833A8	multi	MtRrna	1
FLASH-seq	ZHA8833A8	multi	ribozyme	1
FLASH-seq	ZHA8833A8	multi	scaRNA	1
FLASH-seq	ZHA8833A8	single	ProteinCoding	18943924
FLASH-seq	ZHA8833A8	single	lncRNA	2760530
FLASH-seq	ZHA8833A8	single	TEC	114720
FLASH-seq	ZHA8833A8	single	ProcessedPseudogene	109076
FLASH-seq	ZHA8833A8	single	miRNA	102682
FLASH-seq	ZHA8833A8	single	TranscribedProcessedPseudogene	59868
FLASH-seq	ZHA8833A8	single	TranscribedUnprocessedPseudogene	7573
FLASH-seq	ZHA8833A8	single	snoRNA	6091
FLASH-seq	ZHA8833A8	single	MtTrna	3609
FLASH-seq	ZHA8833A8	single	TranscribedUnitaryPseudogene	2815
FLASH-seq	ZHA8833A8	single	UnprocessedPseudogene	2161
FLASH-seq	ZHA8833A8	single	MiscRna	1255
FLASH-seq	ZHA8833A8	single	UnitaryPseudogene	1048
