dataset	class	length	biotype	reads	reads_at_length
FLASH-seq	multi	39	miRNA	2672	180742
FLASH-seq	multi	39	pseudogene	34	180742
FLASH-seq	multi	39	rRNA	195	180742
FLASH-seq	multi	39	snRNA	2	180742
FLASH-seq	multi	39	snoRNA	26	180742
FLASH-seq	multi	39	tRNA	278	180742
FLASH-seq	multi	40	MiscRna	1680	171824
FLASH-seq	multi	40	MtTrna	146	171824
FLASH-seq	multi	40	ProcessedPseudogene	93421	171824
FLASH-seq	multi	40	ProteinCoding	168217	171824
FLASH-seq	multi	40	TEC	1647	171824
FLASH-seq	multi	40	TranscribedProcessedPseudogene	41324	171824
FLASH-seq	multi	40	TranscribedUnitaryPseudogene	983	171824
FLASH-seq	multi	40	TranscribedUnprocessedPseudogene	2078	171824
FLASH-seq	multi	40	UnitaryPseudogene	702	171824
FLASH-seq	multi	40	UnprocessedPseudogene	8278	171824
FLASH-seq	multi	40	lncRNA	101574	171824
FLASH-seq	multi	40	miRNA	2046	171824
FLASH-seq	multi	40	pseudogene	46	171824
FLASH-seq	multi	40	rRNA	144	171824
FLASH-seq	multi	40	snRNA	6	171824
FLASH-seq	multi	40	snoRNA	36	171824
FLASH-seq	multi	40	tRNA	169	171824
FLASH-seq	multi	41	MiscRna	3039	172303
FLASH-seq	multi	41	MtRrna	1	172303
FLASH-seq	multi	41	MtTrna	249	172303
FLASH-seq	multi	41	ProcessedPseudogene	90725	172303
FLASH-seq	multi	41	ProteinCoding	167264	172303
FLASH-seq	multi	41	TEC	2483	172303
FLASH-seq	multi	41	TranscribedProcessedPseudogene	40844	172303
FLASH-seq	multi	41	TranscribedUnitaryPseudogene	1520	172303
FLASH-seq	multi	41	TranscribedUnprocessedPseudogene	2055	172303
FLASH-seq	multi	41	UnitaryPseudogene	701	172303
FLASH-seq	multi	41	UnprocessedPseudogene	9126	172303
FLASH-seq	multi	41	lncRNA	102615	172303
FLASH-seq	multi	41	miRNA	3355	172303
FLASH-seq	multi	41	pseudogene	22	172303
FLASH-seq	multi	41	rRNA	56	172303
FLASH-seq	multi	41	snRNA	4	172303
FLASH-seq	multi	41	snoRNA	30	172303
FLASH-seq	multi	41	tRNA	32	172303
FLASH-seq	multi	42	MiscRna	2100	164928
FLASH-seq	multi	42	MtTrna	76	164928
FLASH-seq	multi	42	ProcessedPseudogene	90566	164928
FLASH-seq	multi	42	ProteinCoding	160960	164928
FLASH-seq	multi	42	TEC	1824	164928
FLASH-seq	multi	42	TranscribedProcessedPseudogene	42081	164928
FLASH-seq	multi	42	TranscribedUnitaryPseudogene	983	164928
FLASH-seq	multi	42	TranscribedUnprocessedPseudogene	2355	164928
FLASH-seq	multi	42	UnitaryPseudogene	553	164928
FLASH-seq	multi	42	UnprocessedPseudogene	7247	164928
FLASH-seq	multi	42	lncRNA	96815	164928
FLASH-seq	multi	42	miRNA	2461	164928
FLASH-seq	multi	42	pseudogene	19	164928
FLASH-seq	multi	42	rRNA	71	164928
FLASH-seq	multi	42	snRNA	8	164928
FLASH-seq	multi	42	snoRNA	14	164928
FLASH-seq	multi	42	tRNA	60	164928
FLASH-seq	multi	43	MiscRna	2144	185534
FLASH-seq	multi	43	MtTrna	254	185534
FLASH-seq	multi	43	ProcessedPseudogene	97782	185534
FLASH-seq	multi	43	ProteinCoding	181148	185534
FLASH-seq	multi	43	TEC	2178	185534
FLASH-seq	multi	43	TranscribedProcessedPseudogene	45537	185534
FLASH-seq	multi	43	TranscribedUnitaryPseudogene	1267	185534
FLASH-seq	multi	43	TranscribedUnprocessedPseudogene	2695	185534
FLASH-seq	multi	43	UnitaryPseudogene	679	185534
FLASH-seq	multi	43	UnprocessedPseudogene	8632	185534
FLASH-seq	multi	43	lncRNA	111122	185534
FLASH-seq	multi	43	miRNA	2575	185534
FLASH-seq	multi	43	pseudogene	10	185534
FLASH-seq	multi	43	rRNA	76	185534
FLASH-seq	multi	43	snRNA	28	185534
FLASH-seq	multi	43	snoRNA	39	185534
FLASH-seq	multi	43	tRNA	59	185534
FLASH-seq	multi	44	MiscRna	1865	183056
FLASH-seq	multi	44	MtRrna	1	183056
FLASH-seq	multi	44	MtTrna	105	183056
FLASH-seq	multi	44	ProcessedPseudogene	99695	183056
FLASH-seq	multi	44	ProteinCoding	178737	183056
FLASH-seq	multi	44	TEC	3108	183056
FLASH-seq	multi	44	TranscribedProcessedPseudogene	44587	183056
